device width,number of chips,h,solve time
8,4,8,0.2830677032470703
9,5,9,0.27939677238464355
10,6,10,0.29854846000671387
11,7,11,0.3042027950286865
12,8,12,0.2830984592437744
13,9,13,0.28226661682128906
14,9,14,0.2887434959411621
15,10,15,0.2821834087371826
16,10,16,0.2947831153869629
17,12,17,0.29950785636901855
18,16,18,0.32413601875305176
19,14,19,0.3834240436553955
20,14,20,0.37337732315063477
21,15,21,0.4725382328033447
22,16,22,0.36528897285461426
23,19,23,0.4493691921234131
24,18,24,0.7534470558166504
25,19,25,0.39574742317199707
26,22,26,4.981754541397095
27,21,27,0.6802313327789307
28,22,28,3.682997226715088
29,24,29,39.86111783981323
30,20,30,0.45896434783935547
31,19,31,0.41315293312072754
32,27,32,28.146411180496216
33,23,33,0.5322921276092529
34,21,34,0.6644670963287354
35,22,35,0.7010374069213867
36,23,36,0.4215409755706787
37,27,37,52.50567865371704
38,19,38,0.5076842308044434
39,29,39,0.480088472366333
40,20,40,0.38503599166870117
15,25,40,2.2153773307800293
15,25,40,0.4123036861419678
15,25,40,2.397150993347168
30,28,60,21.623998880386353
30,29,60,69.0887975692749
30,28,60,11.051157474517822
60,73,92,300.75725650787354
