,time
1,0.325495958328247
2,0.6503498554229736
3,1.305961847305298
4,2.8680672645568848
5,4.442908048629761
6,8.231201648712158
7,9.390717267990112
8,13.790659427642822
9,18.67058801651001
10,55.90305995941162
11,300.0
12,115.25722336769104
13,110.08168768882751
14,300.0
15,117.0974943637848
16,300.0
17,300.0
18,341.1212909221649
19,300.0
20,300.0
21,300.0
22,300.0
23,300.0
24,300.0
